Image (small thumbnail),Album Artist,Country,Year,Album,Genre,Track #,Disc #,Artist,Name,Duration,Rating
,Yes,GB,1983,90125,Progressive Rock,1,,Yes,Owner Of A Lonely Heart,4:30,5
,Hawaii,US,1984,One Nation Underground,Thrash,9,,Hawaii,Overture Volcanica [Instrumental],3:52,5
,Overkill,US,1988,Under The Influence,Thrash,9,,Overkill,Overkill III (Under The Influence),6:31,5
,Overkill,US,1987,Taking Over,Thrash,9,,Overkill,Overkill II (The Nightmare Continues),7:07,5
,Overkill,US,1985,Feel The Fire,Thrash,10,,Overkill,Overkill,3:27,5
,Testament,US,2001,First Strike Still Deadly,Thrash,7,,Testament,Over The Wall,4:18,5
,Testament,US,1987,The Legacy,Thrash,1,,Testament,Over The Wall,4:06,5
,Gary Moore,IE,1987,Wild Frontier,Hard Rock,10,,Gary Moore,Over The Hills And Far Away (12' Version),7:26,5
,Black Symphony,US,2001,Tears Of Blood (Disc 1),Heavy Metal,107,1,Black Symphony,Over And Over,3:56,5
,Diorama,DE,2013,Even The Devil Doesn´t Care,"Electronic, Ebm, Industrial, Synth-Pop",12,,Diorama,Over,5:30,5
,Asgard,IT,2013,Outworld,Speed Metal,4,,Asgard,Outworld,4:39,5
,Sword,CA,2006,Best Of Sword,Heavy Metal,4,,Sword,Outta Control,3:08,5
,Jon Oliva's Pain,US,2004,Tage Mahal,Heavy Metal,12,,Jon Oliva's Pain,Outside The Door,4:00,5
,Vanadium,IT,1983,A Race With The Devil,Heavy Metal,7,,Vanadium,Outside Of Society,5:14,5
,Marillion,GB,1995,Afraid Of Sunlight,Progressive Rock,5,,Marillion,Out Of This World,7:54,5
,Artillery,DK,2000,Terror Squad-Fear Of Tomorrow,Thrash,12,,Artillery,Out Of The Sky,3:41,5
,Lords Of Black,ES,2014,Lords Of Black,Heavy Metal,9,,Lords Of Black,Out Of The Dark,4:32,5
,Krypteria,DE,2007,Bloodangel's Cry,Gothic Metal,7,,Krypteria,Out Of Tears,3:57,5
,Blind Fury,GB,1985,Out Of Reach,Nwobhm,2,,Blind Fury,Out Of Reach,6:31,5
,Queensrÿche,US,1994,Promised Land,Progressive Metal,4,,Queensrÿche,Out Of Mind,4:35,5
,Pharaoh Overlord,FI,2011,Out Of Darkness,Heavy Metal,2,,Pharaoh Overlord,Out Of Darkness,4:22,5
,Cjss,US,1986,2-4-1 [World Gone Mad - Praise The Loud],Heavy Metal,10,,Cjss,Out Of Control,3:05,5
,Mono Inc.,DE,2017,Together Till The End,Neue Deutsche Härte,4,,Mono Inc.,Out In The Fields,4:05,5
,Lacuna Coil,IT,2006,Karmacode,Gothic Metal,3,,Lacuna Coil,Our Truth,4:03,5
,Epica,NL,2009,Design Your Universe,Symphonic Gothic Metal,5,,Epica,Our Destiny,6:02,5
,Diabula Rasa,IT,2010,Diabula Rasa,Folk Metal,2,,Diabula Rasa,Ostinato,4:39,5
,Moonspell,PT,2001,Darkness And Hope,Gothic Rock,11,,Moonspell,Os Senhores Da Guerra,6:32,5
,Fates Warning,US,1984,The Spectre Within',Progressive Metal,2,,Fates Warning,Orphan Gypsy,5:59,5
,Gladius Noctis,PL,2010,Croaton,Instrumental Metal,1,,Gladius Noctis,Orkan [Instrumental],7:06,5
,Metallica,US,1986,Master Of Puppets,Thrash,7,,Metallica,Orion (Instrumental),8:27,5
,Absolute Steel,NO,2005,Womanizer,Traditional Metal,9,,Absolute Steel,Opus Suite [Instrumental],7:08,5
,Various Artists,GB,1992,Nwobhm Vol. 3,Nwobhm,1,1,Satan,Oppression,5:11,5
,Vio-Lence,US,1990,Oppressing The Masses,Thrash,8,,Vio-Lence,Oppressing The Masses,4:58,5
,Helloween,DE,2003,Rabbit Don't Come Easy,Heavy Metal,2,,Helloween,Open Your Life,4:30,5
,Heathen,US,1987,Breaking The Silence,Thrash,3,,Heathen,Open The Grave,7:22,5
,Queensrÿche,US,2013,Queensrÿche,Progressive Power,11,,Queensrÿche,Open Road,3:54,5
,Y&T,US,1982,Black Tiger,Heavy Metal,2,,Y&T,Open Fire,4:10,5
,Frank Boeijen Groep,NL,1990,Hier Komt De Storm 1980-1990 Live (Disc 2),Nederpop,12,2,Frank Boeijen Groep,Onverstoorbaar,5:11,5
,Obsession,US,1984,Marshall Law,Heavy Metal,1,,Obsession,Only The Strong Will Survive,3:23,5
,Warrior,US,1985,Fighting For The Earth,Heavy Metal,2,,Warrior,Only The Strong Survive,4:53,5
,Iron Maiden,GB,1988,Seventh Son Of A Seventh Son,Heavy Metal,8,,Iron Maiden,Only The Good Die Young,4:42,5
,Toto,US,1988,The Seventh One,AOR,8,,Toto,Only The Children,4:11,5
,The Dark Element,FI,2017,The Dark Element,Symphonic Metal,11,,The Dark Element,Only One Who Knows Me (Feat. Anette Olzon & Jani Liimatainen),5:11,5
,La-Ventura,NL,2007,A New Beginning,Gothic Metal,3,,La-Ventura,Only Love Will Find It's Way,4:23,5
,At Vance,DE,2002,Only Human,Power Metal,2,,At Vance,Only Human,5:15,5
,Levellers,GB,1992,Levelling The Land,Pop,1,,Levellers,One Way,4:08,5
,Chateaux,GB,1984,"Fight To The Last, The Anthology (Disc 2)",Nwobhm,12,,Chateaux,One Too Many,2:49,5
,Delain,NL,2020,Apocalypse & Chill,Melodic Metal,1,,Delain,One Second,3:36,5
,Paradise Lost,GB,1997,One Second,Gothic Wave Metal,1,,Paradise Lost,One Second,3:33,5
,Various Artists,SE,1980,80's Top 1000 Pop,pop,8,,Abba,One Of Us,3:58,5
,Pink Floyd,GB,1988,Delicate Sound Of Thunder (Live) (Disc 2),Progressive Rock,1,,Pink Floyd,One Of These Days,6:16,5
,Hawaii,US,1984,One Nation Underground,Thrash,3,,Hawaii,One Nation Underground,3:59,5
,Tension,US,2003,Epitaph,Heavy Metal,1,,Tension,One Nation Underground,3:19,5
,Dream Theater,US,1999,Scenes From A Memory,Progressive Metal,10,,Dream Theater,One Last Time,3:46,5
,Anathema,GB,1999,Judgement,Alternative Metal,5,,Anathema,One Last Goodbye,5:23,5
,Kuni,JP,1988,Masque,Guitar Virtuoso,7,,Kuni,One Last Chance [Instrumental],3:58,5
,3 Inches Of Blood,CA,2012,Long Live Heavy Metal,Heavy Metal,12,,3 Inches Of Blood,One For The Ditch [Instrumental],3:31,5
,Queensrÿche,US,2006,Operation- Mindcrime II,Progressive Metal,4,,Queensrÿche,One Foot In Hell,4:12,5
,Marillion,GB,1997,This Strange Engine,Symphonic Rock,2,,Marillion,One Fine Day,5:31,5
,Chastain,US,1986,Ruler Of The Wasteland,Heavy Metal,2,,Chastain,One Day To Live,4:06,5
,Kamelot,US,1996,Dominion,Progressive Metal,4,,Kamelot,One Day I'll Win,5:39,5
,Midnight Oil,AU,1989,Blue Sky Mining,Pop,9,,Midnight Oil,One Country,5:53,5
,Savatage,US,1995,Dead Winter Dead,Power Metal,11,,Savatage,One Child,5:14,5
,Epysode,BE,2011,Obsessions,Progressive Power,11,,Epysode,One Chance,6:52,5
,Fates Warning,US,2000,Disconnected,Progressive Metal,2,,Fates Warning,One,4:27,5
,Metallica,US,1988,...And Justice For All (With Jason on Bass),Progressive Thrash,4,,Metallica,One,7:28,5
,U2,IE,1991,Achtung Baby,Pop,3,,U2,One,4:36,5
,Sirenia,NO,2015,The Seventh Life Path,Symphonic Gothic Metal,3,,Sirenia,Once My Light,7:20,5
,Eldritch,IT,2015,Underlying Issues,Progressive Power,8,,Eldritch,Once Is Enough,4:32,5
,Various Artists,xx,2013,Heavy Instrumentals Vol. 24,Heavy Metal,4,,Logical Riddle,Once [Instrumental],6:45,5
,Riot,US,1989,Thundersteel,Heavy Metal,5,,Riot,On Wings Of Eagles,5:41,5
,Pink Floyd,GB,1988,Delicate Sound Of Thunder (Live) (Disc 1),Progressive Rock,7,,Pink Floyd,On The Turning Away,7:57,5
,Doro,DE,2009,Fear No Evil,Melodic Metal,6,,Doro,On The Run,4:42,5
,Amaranthe,SE,2016,Maximalism,Alternative Metal,5,,Amaranthe,On The Rocks,3:09,5
,Kamelot,US,2003,Epica (Limited Edition Digipack),Progressive Metal,11,,Kamelot,On The Coldest Winter Night,4:03,5
,Maltese Falcon,DK,1984,Metal Rush,Heavy Metal,7,,Maltese Falcon,On Fire,4:58,5
,Dire Straits,GB,1991,On Every Street,Pop,2,,Dire Straits,On Every Street,5:04,5
,King Diamond,DK,1987,Abigail,Heavy Metal,6,,King Diamond,Omens,3:56,5
,Blessed Death,US,1985,Kill Or Be Killed-Destined For Extinction,Thrash,3,,Blessed Death,Omen Of Fate,5:14,5
,Eisbrecher,DE,2006,Antikörper,Neue Deutsche Härte,4,,Eisbrecher,Ohne Dich (Full Version For Radio & Clubs),4:37,5
,Eisbrecher,DE,2006,Antikörper,Neue Deutsche Härte,8,,Eisbrecher,Ohne Dich,4:36,5
,Rammstein,DE,2004,"Reise, Reise",Neue Deutsche Härte,10,,Rammstein,Ohne Dich,4:32,5
,High Power,FR,1983,High Power,Heavy Metal,4,,High Power,Offrande Charnelle,8:35,5
,Leatherwolf,US,2002,I [Remastered 2002],Heavy Metal,6,,Leatherwolf,Off The Track,3:46,5
,Metallica,US,1991,Black Album,Heavy Metal,9,,Metallica,Of Wolf And Man,4:16,5
,Metal Church,US,1989,Blessing In Disguise,Heavy Metal,3,,Metal Church,Of Unsound Mind,4:44,5
,Asp,DE,2016,Verfallen - Folge 2 Fassaden (Disc 1),"Electronic, Ebm, Industrial, Synth-Pop",104,1,Asp,Odem,4:39,5
,Lethal,US,1996,Poison Seed,Progressive Metal,10,,Lethal,Odd Shaped Pearl [Instrumental],3:30,5
,Saint Deamon,SE,2009,Pandeamonium,Power Metal,9,,Saint Deamon,Oceans Of Glory,4:32,5
,Helloween,DE,2005,Keeper Of The Seven Keys (The Legacy) (Disc 2),Heavy Metal,1,,Helloween,Occasion Avenue,11:05,5
,Epysode,BE,2011,Obsessions,Progressive Power,4,,Epysode,Obsessions,4:16,5
,Lethal,US,1990,Programmed,Progressive Metal,7,,Lethal,Obscure The Sky,3:59,5